1565426743.490217 Temp=28.1C and Humidity=75.6%
1565426747.426285 Temp=28.1C and Humidity=75.6%
1565426754.270294 Temp=28.1C and Humidity=75.6%
1565426755.671405 Temp=28.1C and Humidity=75.5%
1565426768.953170 Temp=28.2C and Humidity=75.2%
1565426774.678345 Temp=28.2C and Humidity=76.3%
1565426800.558812 Temp=28.1C and Humidity=75.6%
1565426806.221257 Temp=28.1C and Humidity=75.6%
1565426811.893079 Temp=28.1C and Humidity=75.6%
1565426813.333149 Temp=28.1C and Humidity=75.5%
1565426818.940717 Temp=28.1C and Humidity=75.5%
1565426822.659227 Temp=28.1C and Humidity=75.5%
1565426826.180806 Temp=28.2C and Humidity=75.6%
1565426828.507710 Temp=28.2C and Humidity=75.5%
1565426834.290565 Temp=28.2C and Humidity=75.6%
1565426852.195282 Temp=28.1C and Humidity=75.6%
1565426870.316420 Temp=28.2C and Humidity=75.8%
1565426873.064961 Temp=28.1C and Humidity=75.7%
1565426876.106271 Temp=28.2C and Humidity=75.8%
1565426881.289470 Temp=28.1C and Humidity=75.7%
1565426883.259857 Temp=28.1C and Humidity=75.7%
1565426887.061339 Temp=28.2C and Humidity=75.8%
1565426894.155957 Temp=28.1C and Humidity=75.7%
1565426895.271459 Temp=28.1C and Humidity=75.6%
1565426897.180506 Temp=28.1C and Humidity=75.6%
1565426902.990123 Temp=28.1C and Humidity=75.6%
1565426912.570266 Temp=28.1C and Humidity=75.6%
1565426928.426198 Temp=28.1C and Humidity=75.6%
1565426931.436508 Temp=28.1C and Humidity=75.6%
1565426936.746398 Temp=28.1C and Humidity=75.7%
1565426939.635734 Temp=28.2C and Humidity=75.8%
1565426942.569096 Temp=28.1C and Humidity=75.7%
1565426943.736845 Temp=28.1C and Humidity=75.7%
1565426948.596889 Temp=28.1C and Humidity=75.8%
1565426950.526582 Temp=28.1C and Humidity=75.8%
1565426956.480733 Temp=28.1C and Humidity=75.8%
1565426959.615680 Temp=28.2C and Humidity=75.9%
1565426972.570604 Temp=28.1C and Humidity=75.8%
1565427029.141333 Temp=28.2C and Humidity=76.0%
1565427047.045465 Temp=28.2C and Humidity=75.8%
1565427049.745145 Temp=28.2C and Humidity=75.9%
1565427055.557121 Temp=28.2C and Humidity=75.8%
1565427065.730981 Temp=28.1C and Humidity=75.8%
1565427066.596798 Temp=28.2C and Humidity=75.9%
1565427068.586041 Temp=28.2C and Humidity=75.9%
